method,train_k,test_k,seed,status,note
set_sc_fac,6,6,323,DONE,ok
set_sc_fac,6,6,123,DONE,ok
set_sc_fac,6,12,123,DONE,ok
set_sc_fac,6,24,123,DONE,ok
set_sc_fac,6,12,323,DONE,ok
set_sc_fac,6,12,532,DONE,ok
set_sc_fac,6,6,532,DONE,ok
set_sc_fac,6,24,323,DONE,ok
set_sc_fac,12,12,123,DONE,ok
set_sc_fac,12,6,123,DONE,ok
set_sc_fac,6,24,532,DONE,ok
set_sc_fac,12,24,123,DONE,ok
set_sc_fac,12,6,323,DONE,ok
set_sc_fac,12,12,323,DONE,ok
set_sc_fac,12,24,323,DONE,ok
set_sc_fac,12,6,532,DONE,ok
set_sc_fac,12,12,532,DONE,ok
set_sc_fac,12,24,532,DONE,ok
set_sc_fac,24,6,123,DONE,ok
set_sc_fac,24,12,123,DONE,ok
set_sc_fac,24,6,323,DONE,ok
set_sc_fac,24,24,123,DONE,ok
set_sc_fac,24,12,323,DONE,ok
set_sc_fac,24,24,323,DONE,ok
sc_fac,6,6,123,DONE,ok
set_sc_fac,24,6,532,DONE,ok
set_sc_fac,24,12,532,DONE,ok
set_sc_fac,24,24,532,DONE,ok
sc_fac,6,6,323,DONE,ok
sc_fac,6,6,532,DONE,ok
sc_fac,12,12,123,DONE,ok
sc_fac,12,12,323,DONE,ok
sc_fac,12,12,532,DONE,ok
sc_fac,24,24,123,DONE,ok
sc_fac,24,24,323,DONE,ok
sc_fac,24,24,532,DONE,ok
