method,C,k,F,seed,kind,episodes,status,artifact,note,elapsed_wall
ja_ppo,800,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C800.0_k24_F3_s999.csv,2905s,2904.7
ja_ppo,800,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C800.0_k24_F3_s123.csv,2937s,2936.8
ja_ppo,800,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C800.0_k24_F3_s323.csv,2950s,2949.6
ja_ppo,800,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C800.0_k24_F3_s532.csv,2953s,2953.0
ja_ppo,800,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C800.0_k24_F3_s777.csv,3016s,3016.1
ifac,800,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C800.0_k24_F3_s123.csv,4043s,6947.4
ifac,800,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C800.0_k24_F3_s777.csv,4039s,6992.2
ifac,800,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C800.0_k24_F3_s532.csv,4056s,7006.0
ifac,800,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C800.0_k24_F3_s999.csv,4158s,7173.7
ifac,800,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C800.0_k24_F3_s323.csv,4237s,7174.0
sc_fac,800,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C800.0_k24_F3_s323.csv,3990s,10982.1
FA,800,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FA_C800.0_k24_F3.csv,13s,10994.9
FWF,800,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FWF_C800.0_k24_F3.csv,11s,11006.1
ROT,800,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ROT_C800.0_k24_F3.csv,12s,11018.1
BFP0.5,800,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_BFP0.5_C800.0_k24_F3.csv,15s,11032.8
sc_fac,800,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C800.0_k24_F3_s532.csv,4068s,11073.6
sc_fac,800,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C800.0_k24_F3_s123.csv,4145s,11092.8
sc_fac,800,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C800.0_k24_F3_s999.csv,4120s,11294.0
sc_fac,800,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C800.0_k24_F3_s777.csv,4215s,11389.0
ja_ppo,900,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C900.0_k24_F3_s323.csv,3531s,14604.2
ja_ppo,900,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C900.0_k24_F3_s532.csv,3512s,14604.6
ja_ppo,900,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C900.0_k24_F3_s123.csv,3654s,14687.2
ja_ppo,900,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C900.0_k24_F3_s777.csv,3520s,14814.0
ja_ppo,900,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C900.0_k24_F3_s999.csv,3594s,14983.3
ifac,900,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C900.0_k24_F3_s323.csv,3958s,18562.4
ifac,900,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C900.0_k24_F3_s123.csv,4191s,18794.9
ifac,900,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C900.0_k24_F3_s532.csv,4229s,18916.7
ifac,900,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C900.0_k24_F3_s999.csv,4165s,19148.3
ifac,900,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C900.0_k24_F3_s777.csv,4354s,19167.6
sc_fac,900,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C900.0_k24_F3_s123.csv,4796s,23358.8
FA,900,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FA_C900.0_k24_F3.csv,13s,23372.1
FWF,900,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FWF_C900.0_k24_F3.csv,11s,23383.2
ROT,900,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ROT_C900.0_k24_F3.csv,11s,23394.4
BFP0.5,900,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_BFP0.5_C900.0_k24_F3.csv,15s,23409.4
sc_fac,900,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C900.0_k24_F3_s532.csv,4788s,23704.4
sc_fac,900,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C900.0_k24_F3_s323.csv,4923s,23717.9
sc_fac,900,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C900.0_k24_F3_s999.csv,4607s,23774.8
sc_fac,900,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C900.0_k24_F3_s777.csv,4732s,23880.3
ja_ppo,1000,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1000.0_k24_F3_s123.csv,3708s,27117.8
ja_ppo,1000,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1000.0_k24_F3_s532.csv,3517s,27234.8
ja_ppo,1000,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1000.0_k24_F3_s323.csv,3673s,27377.0
ja_ppo,1000,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1000.0_k24_F3_s777.csv,3671s,27445.3
ja_ppo,1000,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1000.0_k24_F3_s999.csv,3651s,27531.0
ifac,1000,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1000.0_k24_F3_s123.csv,3992s,31110.2
ifac,1000,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1000.0_k24_F3_s323.csv,3916s,31150.6
ifac,1000,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1000.0_k24_F3_s532.csv,3783s,31160.0
ifac,1000,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1000.0_k24_F3_s777.csv,3778s,31223.3
ifac,1000,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1000.0_k24_F3_s999.csv,3807s,31338.1
sc_fac,1000,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1000.0_k24_F3_s323.csv,3593s,34744.0
FA,1000,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FA_C1000.0_k24_F3.csv,13s,34756.8
FWF,1000,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FWF_C1000.0_k24_F3.csv,14s,34770.4
ROT,1000,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ROT_C1000.0_k24_F3.csv,12s,34782.2
BFP0.5,1000,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_BFP0.5_C1000.0_k24_F3.csv,15s,34796.9
sc_fac,1000,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1000.0_k24_F3_s532.csv,3728s,34887.7
sc_fac,1000,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1000.0_k24_F3_s123.csv,3790s,34900.0
sc_fac,1000,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1000.0_k24_F3_s777.csv,3704s,34927.6
sc_fac,1000,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1000.0_k24_F3_s999.csv,3777s,35115.3
ja_ppo,1200,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1200.0_k24_F3_s123.csv,2702s,37498.6
ja_ppo,1200,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1200.0_k24_F3_s777.csv,2714s,37641.7
ja_ppo,1200,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1200.0_k24_F3_s532.csv,2753s,37653.0
ja_ppo,1200,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1200.0_k24_F3_s323.csv,2813s,37700.9
ja_ppo,1200,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ja_ppo_C1200.0_k24_F3_s999.csv,2799s,37914.3
ifac,1200,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1200.0_k24_F3_s323.csv,3444s,41085.5
ifac,1200,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1200.0_k24_F3_s123.csv,3607s,41105.1
ifac,1200,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1200.0_k24_F3_s532.csv,3644s,41297.1
ifac,1200,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1200.0_k24_F3_s777.csv,3611s,41312.3
ifac,1200,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ifac_C1200.0_k24_F3_s999.csv,3499s,41413.2
sc_fac,1200,24,3,123,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1200.0_k24_F3_s123.csv,3638s,44723.8
FA,1200,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FA_C1200.0_k24_F3.csv,13s,44737.2
FWF,1200,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_FWF_C1200.0_k24_F3.csv,12s,44749.2
ROT,1200,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_ROT_C1200.0_k24_F3.csv,12s,44761.0
BFP0.5,1200,24,3,,rule,,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_BFP0.5_C1200.0_k24_F3.csv,17s,44778.2
sc_fac,1200,24,3,532,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1200.0_k24_F3_s532.csv,3614s,44910.8
sc_fac,1200,24,3,323,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1200.0_k24_F3_s323.csv,3806s,44911.0
sc_fac,1200,24,3,999,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1200.0_k24_F3_s999.csv,3641s,45054.1
sc_fac,1200,24,3,777,learned,3000,DONE,/data/yingda/Kwallet-Rl/runs/matrix_main/eval_sc_fac_C1200.0_k24_F3_s777.csv,3801s,45113.4
