method,train_k,test_k,seed,money,accept,flush,drops
sc_fac,12,12,123,34261.95166666667,41721.818333333336,745.9866666666667,81.84041666666667
sc_fac,12,12,323,34318.43583333334,42061.5525,774.3116666666666,77.16916666666667
sc_fac,12,12,532,33997.89375,41556.36875,755.8475,84.475
sc_fac,24,24,123,13626.45,19138.8625,551.24125,442.32125
sc_fac,24,24,323,13636.59625,19007.94625,537.135,445.5541666666667
sc_fac,24,24,532,13567.48625,18954.17375,538.66875,446.94416666666666
sc_fac,6,6,123,44795.3025,48772.160833333335,397.6858333333333,13.132916666666668
sc_fac,6,6,323,44897.22375,48834.46125,393.72375,12.578333333333331
sc_fac,6,6,532,44767.802083333336,48288.58125,352.0779166666667,17.052083333333332
set_sc_fac,12,12,123,36565.33125,43389.19375,682.38625,59.62166666666667
set_sc_fac,12,24,123,15159.287083333333,20538.50375,537.9216666666666,405.0858333333333
set_sc_fac,12,6,123,43743.2925,47817.91333333333,407.4620833333333,23.574583333333333
set_sc_fac,12,12,323,36297.72625,42465.24291666667,616.7516666666667,72.80875
set_sc_fac,12,24,323,15281.319166666666,20427.465,514.6145833333334,409.5491666666667
set_sc_fac,12,6,323,42297.09875,45850.21125,355.31125,48.88125
set_sc_fac,12,12,532,36308.66583333333,42623.45333333333,631.47875,70.52375
set_sc_fac,12,24,532,15074.174166666666,20298.84083333333,522.4666666666667,411.5779166666667
set_sc_fac,12,6,532,45157.93875,49030.872083333335,387.29333333333335,10.155833333333334
set_sc_fac,24,12,123,22586.2425,28587.588333333333,600.1345833333334,375.38875
set_sc_fac,24,24,123,13080.735,18210.630833333333,512.9895833333334,470.70916666666665
set_sc_fac,24,6,123,20797.94583333333,23943.704166666663,314.5758333333333,510.27625
set_sc_fac,24,12,323,24109.737916666665,30062.22125,595.2483333333333,342.02916666666664
set_sc_fac,24,24,323,14489.445,20072.740833333333,558.3295833333333,418.44125
set_sc_fac,24,6,323,25506.64833333333,28643.64,313.69916666666666,394.6858333333333
set_sc_fac,24,12,532,0.0,0.0,0.0,1000.0
set_sc_fac,24,24,532,0.0,0.0,0.0,1000.0
set_sc_fac,24,6,532,0.0,0.0,0.0,1000.0
set_sc_fac,6,12,123,25803.33333333333,29054.3625,325.10291666666666,380.41375
set_sc_fac,6,24,123,4250.4679166666665,5452.584583333333,120.21166666666667,853.39375
set_sc_fac,6,6,123,46996.97625,49967.36375,297.03875,3.796666666666667
set_sc_fac,6,12,323,25904.928333333333,29094.099166666667,318.9170833333333,373.88
set_sc_fac,6,24,323,4100.3220833333335,5220.042916666666,111.97208333333332,863.57875
set_sc_fac,6,6,323,46781.159166666665,49700.73,291.95708333333334,6.25
set_sc_fac,6,12,532,27793.09625,31276.737916666665,348.3641666666667,302.4741666666667
set_sc_fac,6,24,532,4949.002083333334,6428.460416666667,147.94583333333333,810.36
set_sc_fac,6,6,532,46447.46333333333,49441.371666666666,299.3908333333333,9.034583333333334
