method,C,seed,money,accept,flush,drop
sc_nocond,800.0,323,4097.3029166666665,6681.190416666666,258.38875,747.6745833333333
sc_nocond,1200.0,123,13418.39,18949.110833333332,553.0720833333334,447.2966666666667
sc_shuffled,1200.0,323,13317.080416666666,19315.897083333333,599.8816666666667,437.46666666666664
sc_shuffled,800.0,532,3812.7683333333334,6214.214166666667,240.14458333333334,765.7754166666666
sc_shuffled,800.0,123,3762.1325,6021.761666666666,225.96291666666667,773.1575
sc_shuffled,1200.0,123,13589.735,19235.96416666667,564.6229166666667,439.53625
sc_shuffled,800.0,323,3356.38,5932.488333333334,257.61083333333335,775.1666666666666
sc_nocond,800.0,532,3821.360833333333,6489.515,266.8154166666667,755.09375
sc_nocond,1200.0,532,13074.727083333333,18435.314583333333,536.05875,462.3804166666667
sc_nocond,800.0,123,3767.4220833333334,6098.43875,233.10166666666666,769.9733333333334
sc_nocond,1200.0,323,13212.4025,18679.885833333334,546.7483333333333,455.46958333333333
sc_shuffled,1200.0,532,12847.979166666666,18573.220833333333,572.5241666666667,460.29083333333335
