method,C,tau,money_mean
sc_nocond,800.0,1,6170.279444444444
sc_nocond,800.0,5,5159.205000000001
sc_nocond,800.0,10,3895.3619444444444
sc_nocond,800.0,20,1367.6758333333335
sc_nocond,1200.0,1,18142.810694444444
sc_nocond,1200.0,5,15961.638472222223
sc_nocond,1200.0,10,13235.173194444442
sc_nocond,1200.0,20,7782.242638888889
sc_shuffled,800.0,1,5814.915277777778
sc_shuffled,800.0,5,4849.9575
sc_shuffled,800.0,10,3643.760277777778
sc_shuffled,800.0,20,1231.3658333333333
sc_shuffled,1200.0,1,18462.684444444443
sc_shuffled,1200.0,5,16146.646111111111
sc_shuffled,1200.0,10,13251.598194444445
sc_shuffled,1200.0,20,7461.502361111111
