method,C,seed,money,accept,flush,drop
ifac,1200.0,323,13618.7725,18813.080833333333,519.4308333333333,450.46958333333333
ifac,1200.0,777,13649.717916666666,18839.10125,518.9383333333334,449.73291666666665
ifac,1200.0,532,13705.601666666667,18997.643333333333,529.2041666666667,445.28
sc_fac,1200.0,999,13548.55375,19159.19125,561.06375,441.33458333333334
ifac,800.0,999,4299.017083333333,6658.487916666667,235.94708333333332,748.3941666666667
sc_fac,1000.0,777,7622.92875,11657.59125,403.46625,617.05875
ifac,900.0,999,5338.016666666666,7802.670833333334,246.46541666666667,726.0983333333334
sc_fac,1000.0,532,7644.947916666667,11512.80625,386.78583333333336,621.7141666666666
ja_ppo,800.0,323,3034.2679166666667,5244.284583333333,221.00166666666667,801.11375
ROT,1200.0,rule,7905.645,10710.745,280.51,680.83625
sc_fac,1000.0,123,7735.203333333333,11773.495,403.82916666666665,613.7508333333334
BFP0.5,800.0,rule,4682.453333333333,7246.3741666666665,256.39208333333335,725.94875
sc_fac,900.0,532,5702.140833333333,8848.8325,314.6691666666667,690.555
ROT,1000.0,rule,4956.109166666667,7050.850833333333,209.47416666666666,764.8595833333334
ja_ppo,900.0,532,4765.049166666667,7797.265833333333,303.2216666666667,726.4379166666666
sc_fac,1200.0,777,13491.280416666666,18975.080416666668,548.38,446.6645833333333
ifac,900.0,777,4792.650833333333,7037.050833333334,224.44,749.025
ja_ppo,1000.0,532,6398.02875,9931.849583333333,353.38208333333336,671.95
ja_ppo,800.0,123,3178.2066666666665,5394.223333333333,221.60166666666666,796.6129166666667
ja_ppo,1000.0,777,6421.4375,10022.195833333333,360.0758333333333,670.5483333333333
sc_fac,1000.0,999,7823.352083333333,12140.59375,431.7241666666667,601.4845833333334
sc_fac,1200.0,323,13347.987083333333,19267.00375,591.9016666666666,438.6479166666667
ja_ppo,1200.0,777,12315.758333333333,17815.754166666666,549.9995833333334,479.4870833333333
ja_ppo,1000.0,999,6232.579583333333,10061.475416666666,382.88958333333335,668.1804166666667
sc_fac,800.0,532,3826.12875,6111.999583333333,228.58708333333334,769.4825
sc_fac,1000.0,323,7571.83,11640.721666666666,406.88916666666665,617.5195833333333
sc_fac,900.0,123,5442.077083333334,8674.810416666667,323.2733333333333,696.4620833333333
ja_ppo,1200.0,123,12167.984583333333,17407.605416666665,523.9620833333333,491.41041666666666
FA,1000.0,rule,5533.360416666666,7456.522916666667,192.31625,747.7016666666667
ifac,800.0,323,4136.73,6181.513333333333,204.47833333333332,766.1070833333333
ja_ppo,1200.0,323,11598.425416666667,16958.025416666667,535.96,503.505
sc_fac,900.0,999,5061.419166666667,8067.235833333333,300.58166666666665,716.7691666666667
ifac,800.0,777,4280.084583333333,6639.980416666666,235.98958333333334,748.9316666666666
FA,900.0,rule,4172.412083333334,5737.91625,156.55041666666668,792.9366666666666
sc_fac,1200.0,123,13351.710416666667,19301.510416666668,594.98,437.68
sc_fac,800.0,999,3752.4816666666666,5921.7775,216.92958333333334,776.9616666666667
ifac,1000.0,323,8187.635416666667,11937.03125,374.93958333333336,608.6379166666667
ifac,800.0,532,3924.5158333333334,5882.3741666666665,195.78583333333333,779.0041666666667
FWF,800.0,rule,2312.3345833333333,3648.067916666667,133.57333333333332,859.5220833333333
ifac,800.0,123,4240.0616666666665,6501.1575,226.10958333333335,754.4879166666667
FA,800.0,rule,2906.704166666667,4061.5291666666667,115.4825,841.43125
sc_fac,900.0,777,5345.00125,8506.742916666666,316.1741666666667,702.2058333333333
ja_ppo,900.0,999,4288.903333333334,7001.1825,271.22791666666666,754.1466666666666
FWF,900.0,rule,3481.52,5249.903333333334,176.83833333333334,813.2245833333334
FWF,1000.0,rule,4713.33375,6866.829583333333,215.34958333333333,770.735
ja_ppo,1000.0,123,6402.887916666667,9904.775416666667,350.18875,673.0791666666667
ifac,1200.0,999,13185.777083333332,18643.339583333334,545.75625,455.995
sc_fac,800.0,777,3869.1283333333336,6171.074166666666,230.19458333333333,767.2558333333334
FWF,1200.0,rule,7639.977916666667,10503.34875,286.33708333333334,686.6633333333333
ifac,1000.0,532,3165.3166666666666,4521.325,135.60083333333333,844.5004166666666
ROT,900.0,rule,3708.5529166666665,5418.369583333333,170.98166666666665,807.3679166666667
ifac,1000.0,999,7394.972916666667,10973.872916666667,357.89,639.4325
sc_fac,800.0,323,3710.5025,6362.056666666666,265.15541666666667,759.7225
sc_fac,1200.0,532,12153.139166666666,17417.693333333333,526.4554166666667,492.265
BFP0.5,1000.0,rule,9497.4225,13619.068333333333,412.1645833333333,555.3854166666666
FA,1200.0,rule,8826.01625,11380.532916666667,255.45166666666665,655.7779166666667
ja_ppo,800.0,999,3266.9825,5441.1075,217.4125,795.6075
ifac,1200.0,123,13410.542916666667,18674.20125,526.3658333333333,454.56125
ifac,1000.0,777,7748.777083333333,11286.727083333333,353.795,628.6670833333334
ja_ppo,1000.0,323,6307.538333333333,9702.996666666666,339.54583333333335,678.9008333333334
ja_ppo,900.0,123,3988.0816666666665,6737.410833333333,274.93291666666664,762.7804166666666
BFP0.5,900.0,rule,7026.582916666666,10421.712083333334,339.5129166666667,636.38625
BFP0.5,1200.0,rule,15326.680833333334,20724.3225,539.7641666666667,400.32625
ifac,900.0,123,5784.1575,8475.624166666666,269.14666666666665,703.3525
ja_ppo,900.0,323,4071.0208333333335,7514.566666666667,344.3545833333333,735.9020833333333
ifac,900.0,532,5806.40875,8524.84625,271.84375,701.6891666666667
ifac,900.0,323,5604.360416666666,8231.289583333333,262.6929166666667,712.125
ja_ppo,800.0,532,2548.0670833333334,4700.537916666667,215.24708333333334,821.7916666666666
ja_ppo,800.0,777,3372.9866666666667,5393.878333333333,202.08916666666667,795.7375
ja_ppo,1200.0,532,11590.22,16840.3575,525.01375,508.1645833333333
sc_fac,900.0,323,5471.679166666667,8976.116666666667,350.44375,686.115
ja_ppo,1200.0,999,11793.884166666667,17226.234166666665,543.235,496.01166666666666
ROT,800.0,rule,2524.37,3802.945,127.8575,853.80625
ja_ppo,900.0,777,4914.435833333333,7963.348333333333,304.89125,720.9620833333333
ifac,1000.0,123,8263.58,11970.463333333333,370.68833333333333,607.11
sc_fac,800.0,123,3625.6441666666665,6323.269166666667,269.7625,761.615
