method,C,money_mean,money_se,n_seeds,accept_mean,flush_mean,reported
FA,800.0,2906.704166666667,0.0,1,4061.5291666666667,115.4825,2772.78
FWF,800.0,2312.3345833333333,0.0,1,3648.067916666667,133.57333333333332,2288.24
ROT,800.0,2524.37,0.0,1,3802.945,127.8575,
BFP0.5,800.0,4682.453333333333,0.0,1,7246.3741666666665,256.39208333333335,
ja_ppo,800.0,3080.1021666666666,144.13399852530407,5,5234.806333333333,215.47041666666664,3368.57
ifac,800.0,4176.081833333333,68.86838386232846,5,6372.702666666666,219.66208333333333,3607.05
sc_fac,800.0,3756.7770833333334,42.88827727160876,5,6178.035416666667,242.12583333333333,3999.25
FA,900.0,4172.412083333334,0.0,1,5737.91625,156.55041666666668,4047.32
FWF,900.0,3481.52,0.0,1,5249.903333333334,176.83833333333334,3512.46
ROT,900.0,3708.5529166666665,0.0,1,5418.369583333333,170.98166666666665,
BFP0.5,900.0,7026.582916666666,0.0,1,10421.712083333334,339.5129166666667,
ja_ppo,900.0,4405.498166666666,185.4724300670003,5,7402.754833333334,299.72566666666665,5636.16
ifac,900.0,5465.118833333333,187.88571903837175,5,8014.296333333334,254.91774999999998,6347.35
sc_fac,900.0,5404.4635,103.86522422934347,5,8614.747666666666,321.02841666666666,6627.98
FA,1000.0,5533.360416666666,0.0,1,7456.522916666667,192.31625,5402.43
FWF,1000.0,4713.33375,0.0,1,6866.829583333333,215.34958333333333,4802.56
ROT,1000.0,4956.109166666667,0.0,1,7050.850833333333,209.47416666666666,
BFP0.5,1000.0,9497.4225,0.0,1,13619.068333333333,412.1645833333333,
ja_ppo,1000.0,6352.494416666666,35.8933460239519,5,9924.658583333334,357.2164166666667,8332.27
ifac,1000.0,6952.056416666666,959.6115452561155,5,10137.883916666668,318.58275000000003,8786.44
sc_fac,1000.0,7679.652416666667,44.59997127735586,5,11745.041583333334,406.5389166666667,9064.8
FA,1200.0,8826.01625,0.0,1,11380.532916666667,255.45166666666665,8591.65
FWF,1200.0,7639.977916666667,0.0,1,10503.34875,286.33708333333334,7810.86
ROT,1200.0,7905.645,0.0,1,10710.745,280.51,
BFP0.5,1200.0,15326.680833333334,0.0,1,20724.3225,539.7641666666667,
ja_ppo,1200.0,11893.2545,148.76401910171398,5,17249.59533333333,535.6340833333334,14443.01
ifac,1200.0,13514.082416666666,96.05765078444152,5,18793.47325,527.9390833333333,14472.93
sc_fac,1200.0,13178.534166666668,259.3129305969083,5,18824.095833333333,564.5561666666666,14687.65
