C,a,b,contrast,n,mean_diff,lo,hi,p,wins,a_mean,b_mean
800,SC-FAC,IFAC,SC-FAC-IFAC,5,-419.3047499999998,-665.5821593549249,-173.0273406450747,0.009123636554006132,0,3756.7770833333334,4176.081833333333
800,IFAC,JA-PPO,IFAC-JA-PPO,5,1095.9796666666664,881.2447367547359,1310.714596578597,0.00014398365400369748,5,4176.081833333333,3080.1021666666666
800,SC-FAC,JA-PPO,SC-FAC-JA-PPO,5,676.6749166666666,245.04867135389924,1108.301161979434,0.012131112141072075,5,3756.7770833333334,3080.1021666666666
800,BFP0.5,SC-FAC,BFP0.5-SC-FAC,5,925.6762499999998,806.5993024988757,1044.7531975011239,2.725708737844829e-05,5,4682.453333333333,3756.7770833333334
800,SC-FAC,FA,SC-FAC-FA,5,850.0729166666664,730.9959691655423,969.1498641677905,3.822494066443432e-05,5,3756.7770833333334,2906.704166666667
800,IFAC,FA,IFAC-FA,5,1269.377666666666,1078.168379389221,1460.5869539441112,5.097918962619239e-05,5,4176.081833333333,2906.704166666667
900,SC-FAC,IFAC,SC-FAC-IFAC,5,-60.65533333333315,-503.45129809858526,382.14063143191896,0.7230380782438557,1,5404.4635,5465.118833333333
900,IFAC,JA-PPO,IFAC-JA-PPO,5,1059.6206666666665,146.56714979812625,1972.6741835352068,0.03221521753810275,4,5465.118833333333,4405.498166666667
900,SC-FAC,JA-PPO,SC-FAC-JA-PPO,5,998.9653333333333,462.5306188363536,1535.400047830313,0.006650227259322108,5,5404.4635,4405.498166666667
900,BFP0.5,SC-FAC,BFP0.5-SC-FAC,5,1622.1194166666662,1333.7433232548337,1910.4955100784987,9.815726246304753e-05,5,7026.582916666666,5404.4635
900,SC-FAC,FA,SC-FAC-FA,5,1232.0514166666665,943.675323254834,1520.427510078499,0.00028921116656797647,5,5404.4635,4172.412083333334
900,IFAC,FA,IFAC-FA,5,1292.7067499999996,771.0523650393435,1814.3611349606558,0.002338363178512703,5,5465.118833333333,4172.412083333334
1000,SC-FAC,IFAC,SC-FAC-IFAC,5,727.5959999999999,-1926.623163551969,3381.815163551969,0.48899456360224963,2,7679.652416666667,6952.056416666666
1000,IFAC,JA-PPO,IFAC-JA-PPO,5,599.5620000000001,-2089.6499825925885,3288.773982592589,0.5694220856131995,4,6952.056416666666,6352.494416666666
1000,SC-FAC,JA-PPO,SC-FAC-JA-PPO,5,1327.158,1135.0992467516458,1519.216753248354,4.349263797757631e-05,5,7679.652416666667,6352.494416666666
1000,BFP0.5,SC-FAC,BFP0.5-SC-FAC,5,1817.770083333334,1693.940711388357,1941.599455278311,2.165672693116519e-06,5,9497.4225,7679.652416666667
1000,SC-FAC,FA,SC-FAC-FA,5,2146.2920000000004,2022.4626280550233,2270.1213719449775,1.1155400275117193e-06,5,7679.652416666667,5533.360416666666
1000,IFAC,FA,IFAC-FA,5,1418.6960000000004,-1245.6127777176375,4083.0047777176383,0.21337606221230312,4,6952.056416666666,5533.360416666666
1200,SC-FAC,IFAC,SC-FAC-IFAC,5,-335.54825000000017,-1231.0695249682844,559.973024968284,0.3569364058597627,1,13178.534166666668,13514.082416666666
1200,IFAC,JA-PPO,IFAC-JA-PPO,5,1620.8279166666666,1108.1276026435094,2133.528230689824,0.0009290198045330344,5,13514.082416666666,11893.2545
1200,SC-FAC,JA-PPO,SC-FAC-JA-PPO,5,1285.2796666666666,670.6718943815993,1899.8874389517339,0.004377703601340859,5,13178.534166666668,11893.2545
1200,BFP0.5,SC-FAC,BFP0.5-SC-FAC,5,2148.1466666666674,1428.178549796385,2868.11478353695,0.0011591433057354776,5,15326.680833333336,13178.534166666668
1200,SC-FAC,FA,SC-FAC-FA,5,4352.517916666666,3632.549799796383,5072.4860335369485,7.38376882092093e-05,5,13178.534166666668,8826.01625
1200,IFAC,FA,IFAC-FA,5,4688.0661666666665,4421.367372329404,4954.764961003929,1.054604453551849e-06,5,13514.082416666666,8826.01625
