method,C,regime,money
ifac,800.0,LNB,4017.486
ifac,800.0,LNS,4185.659
ifac,800.0,PLB,6290.9800000000005
ifac,800.0,PLS,7165.831
ifac,800.0,TLB,1635.463
ifac,800.0,TLNB,3697.8910000000005
ifac,800.0,TLNS,3901.547
ifac,800.0,TLS,1884.756
ifac,800.0,TPLB,5381.664999999999
ifac,800.0,TPLS,6034.218
ifac,800.0,UB,2792.875
ifac,800.0,US,3124.611
ifac,900.0,LNB,5219.411999999999
ifac,900.0,LNS,5563.354
ifac,900.0,PLB,7879.637
ifac,900.0,PLS,9369.491
ifac,900.0,TLB,2700.0299999999997
ifac,900.0,TLNB,4965.259
ifac,900.0,TLNS,5300.553
ifac,900.0,TLS,3183.068
ifac,900.0,TPLB,7635.742
ifac,900.0,TPLS,9106.626999999999
ifac,900.0,UB,2323.645
ifac,900.0,US,2334.6079999999997
ifac,1000.0,LNB,6471.222
ifac,1000.0,LNS,6871.033
ifac,1000.0,PLB,9399.066
ifac,1000.0,PLS,10579.049
ifac,1000.0,TLB,4438.016
ifac,1000.0,TLNB,6315.817
ifac,1000.0,TLNS,6802.729000000001
ifac,1000.0,TLS,5056.618
ifac,1000.0,TPLB,9237.708999999999
ifac,1000.0,TPLS,10937.869
ifac,1000.0,UB,3563.547
ifac,1000.0,US,3752.0020000000004
ifac,1200.0,LNB,10855.975
ifac,1200.0,LNS,11584.397
ifac,1200.0,PLB,15886.309
ifac,1200.0,PLS,17048.7
ifac,1200.0,TLB,11790.722
ifac,1200.0,TLNB,11654.362
ifac,1200.0,TLNS,12400.229000000001
ifac,1200.0,TLS,13369.072
ifac,1200.0,TPLB,16899.023999999998
ifac,1200.0,TPLS,18018.189
ifac,1200.0,UB,10941.028
ifac,1200.0,US,11720.982
ja_ppo,800.0,LNB,2850.286
ja_ppo,800.0,LNS,2935.273
ja_ppo,800.0,PLB,5125.305
ja_ppo,800.0,PLS,5799.908
ja_ppo,800.0,TLB,602.533
ja_ppo,800.0,TLNB,2441.536
ja_ppo,800.0,TLNS,2565.583
ja_ppo,800.0,TLS,910.1389999999999
ja_ppo,800.0,TPLB,4543.701
ja_ppo,800.0,TPLS,5165.771
ja_ppo,800.0,UB,1938.0849999999998
ja_ppo,800.0,US,2083.1059999999998
ja_ppo,900.0,LNB,3802.2589999999996
ja_ppo,900.0,LNS,4043.7400000000002
ja_ppo,900.0,PLB,6621.525
ja_ppo,900.0,PLS,8148.664999999999
ja_ppo,900.0,TLB,1736.8690000000001
ja_ppo,900.0,TLNB,3626.618
ja_ppo,900.0,TLNS,3891.915
ja_ppo,900.0,TLS,2058.943
ja_ppo,900.0,TPLB,6478.168
ja_ppo,900.0,TPLS,7838.286
ja_ppo,900.0,UB,2237.338
ja_ppo,900.0,US,2381.652
ja_ppo,1000.0,LNB,5529.07
ja_ppo,1000.0,LNS,5846.226
ja_ppo,1000.0,PLB,8816.026
ja_ppo,1000.0,PLS,10139.217
ja_ppo,1000.0,TLB,3556.637
ja_ppo,1000.0,TLNB,5558.051
ja_ppo,1000.0,TLNS,5905.549000000001
ja_ppo,1000.0,TLS,4231.499
ja_ppo,1000.0,TPLB,8890.325
ja_ppo,1000.0,TPLS,10495.645
ja_ppo,1000.0,UB,3565.8190000000004
ja_ppo,1000.0,US,3695.869
ja_ppo,1200.0,LNB,9712.073
ja_ppo,1200.0,LNS,10420.365
ja_ppo,1200.0,PLB,14188.848999999998
ja_ppo,1200.0,PLS,15536.875
ja_ppo,1200.0,TLB,9853.710000000001
ja_ppo,1200.0,TLNB,10281.520999999999
ja_ppo,1200.0,TLNS,11088.222
ja_ppo,1200.0,TLS,11260.366
ja_ppo,1200.0,TPLB,14923.941
ja_ppo,1200.0,TPLS,16541.126
ja_ppo,1200.0,UB,9045.941
ja_ppo,1200.0,US,9866.064999999999
sc_fac,800.0,LNB,3410.4230000000002
sc_fac,800.0,LNS,3564.638
sc_fac,800.0,PLB,6104.118
sc_fac,800.0,PLS,6979.405000000001
sc_fac,800.0,TLB,1069.298
sc_fac,800.0,TLNB,3024.174
sc_fac,800.0,TLNS,3163.4700000000003
sc_fac,800.0,TLS,1354.2
sc_fac,800.0,TPLB,5240.507
sc_fac,800.0,TPLS,5879.066000000001
sc_fac,800.0,UB,2510.973
sc_fac,800.0,US,2781.053
sc_fac,900.0,LNB,4732.44
sc_fac,900.0,LNS,5027.108
sc_fac,900.0,PLB,8109.334
sc_fac,900.0,PLS,9813.886999999999
sc_fac,900.0,TLB,2212.926
sc_fac,900.0,TLNB,4454.099
sc_fac,900.0,TLNS,4775.45
sc_fac,900.0,TLS,2650.751
sc_fac,900.0,TPLB,7770.269
sc_fac,900.0,TPLS,9412.193
sc_fac,900.0,UB,2894.698
sc_fac,900.0,US,3000.407
sc_fac,1000.0,LNB,6504.679
sc_fac,1000.0,LNS,7044.599
sc_fac,1000.0,PLB,11013.704999999998
sc_fac,1000.0,PLS,12453.289
sc_fac,1000.0,TLB,4296.4800000000005
sc_fac,1000.0,TLNB,6578.002
sc_fac,1000.0,TLNS,7126.923
sc_fac,1000.0,TLS,5063.919
sc_fac,1000.0,TPLB,10727.076
sc_fac,1000.0,TPLS,12563.794
sc_fac,1000.0,UB,4206.765
sc_fac,1000.0,US,4576.598
sc_fac,1200.0,LNB,10489.280999999999
sc_fac,1200.0,LNS,11290.411
sc_fac,1200.0,PLB,15720.220000000001
sc_fac,1200.0,PLS,16856.145
sc_fac,1200.0,TLB,11261.354
sc_fac,1200.0,TLNB,11362.126999999999
sc_fac,1200.0,TLNS,12230.973
sc_fac,1200.0,TLS,12945.979000000001
sc_fac,1200.0,TPLB,16455.927
sc_fac,1200.0,TPLS,17795.628
sc_fac,1200.0,UB,10412.392
sc_fac,1200.0,US,11321.973000000002
