method,C,tau,money_mean
BFP0.5,800.0,1,6989.982083333333
BFP0.5,800.0,5,5964.41375
BFP0.5,800.0,10,4682.453333333333
BFP0.5,800.0,20,2118.5325
BFP0.5,900.0,1,10082.199166666667
BFP0.5,900.0,5,8724.1475
BFP0.5,900.0,10,7026.582916666666
BFP0.5,900.0,20,3631.45375
BFP0.5,1000.0,1,13206.90375
BFP0.5,1000.0,5,11558.245416666668
BFP0.5,1000.0,10,9497.4225
BFP0.5,1000.0,20,5375.776666666667
BFP0.5,1200.0,1,20184.55833333333
BFP0.5,1200.0,5,18025.501666666667
BFP0.5,1200.0,10,15326.680833333334
BFP0.5,1200.0,20,9929.039166666667
FA,800.0,1,3946.0466666666666
FA,800.0,5,3484.116666666667
FA,800.0,10,2906.704166666667
FA,800.0,20,1751.8791666666666
FA,900.0,1,5581.365833333333
FA,900.0,5,4955.1641666666665
FA,900.0,10,4172.412083333334
FA,900.0,20,2606.9079166666666
FA,1000.0,1,7264.206666666667
FA,1000.0,5,6494.941666666667
FA,1000.0,10,5533.360416666666
FA,1000.0,20,3610.1979166666665
FA,1200.0,1,11125.08125
FA,1200.0,5,10103.274583333334
FA,1200.0,10,8826.01625
FA,1200.0,20,6271.499583333333
FWF,800.0,1,3514.494583333333
FWF,800.0,5,2980.20125
FWF,800.0,10,2312.3345833333333
FWF,800.0,20,976.60125
FWF,900.0,1,5073.065
FWF,900.0,5,4365.711666666667
FWF,900.0,10,3481.52
FWF,900.0,20,1713.1366666666668
FWF,1000.0,1,6651.48
FWF,1000.0,5,5790.081666666667
FWF,1000.0,10,4713.33375
FWF,1000.0,20,2559.837916666667
FWF,1200.0,1,10217.011666666667
FWF,1200.0,5,9071.663333333334
FWF,1200.0,10,7639.977916666667
FWF,1200.0,20,4776.607083333333
ROT,800.0,1,3675.0875
ROT,800.0,5,3163.6575
ROT,800.0,10,2524.37
ROT,800.0,20,1245.795
ROT,900.0,1,5247.387916666667
ROT,900.0,5,4563.46125
ROT,900.0,10,3708.5529166666665
ROT,900.0,20,1998.73625
ROT,1000.0,1,6841.376666666667
ROT,1000.0,5,6003.48
ROT,1000.0,10,4956.109166666667
ROT,1000.0,20,2861.3675
ROT,1200.0,1,10430.235
ROT,1200.0,5,9308.195
ROT,1200.0,10,7905.645
ROT,1200.0,20,5100.545
ifac,800.0,1,6153.040583333333
ifac,800.0,5,5274.39225
ifac,800.0,10,4176.081833333333
ifac,800.0,20,1979.461
ifac,900.0,1,7759.378583333333
ifac,900.0,5,6739.707583333334
ifac,900.0,10,5465.118833333333
ifac,900.0,20,2915.941333333333
ifac,1000.0,1,9819.301166666666
ifac,1000.0,5,8544.970166666666
ifac,1000.0,10,6952.056416666666
ifac,1000.0,20,3766.228916666667
ifac,1200.0,1,18265.534166666668
ifac,1200.0,5,16153.777833333332
ifac,1200.0,10,13514.082416666666
ifac,1200.0,20,8234.691583333333
ja_ppo,800.0,1,5019.335916666667
ja_ppo,800.0,5,4157.45425
ja_ppo,800.0,10,3080.1021666666666
ja_ppo,800.0,20,925.3979999999999
ja_ppo,900.0,1,7103.029166666667
ja_ppo,900.0,5,5904.1265
ja_ppo,900.0,10,4405.498166666666
ja_ppo,900.0,20,1408.2415
ja_ppo,1000.0,1,9567.442166666666
ja_ppo,1000.0,5,8138.5765
ja_ppo,1000.0,10,6352.494416666666
ja_ppo,1000.0,20,2780.33025
ja_ppo,1200.0,1,16713.96125
ja_ppo,1200.0,5,14571.424916666667
ja_ppo,1200.0,10,11893.2545
ja_ppo,1200.0,20,6536.913666666666
sc_fac,800.0,1,5935.909583333333
sc_fac,800.0,5,4967.40625
sc_fac,800.0,10,3756.7770833333334
sc_fac,800.0,20,1335.51875
sc_fac,900.0,1,8293.71925
sc_fac,900.0,5,7009.605583333333
sc_fac,900.0,10,5404.4635
sc_fac,900.0,20,2194.179333333333
sc_fac,1000.0,1,11338.502666666665
sc_fac,1000.0,5,9712.347
sc_fac,1000.0,10,7679.652416666667
sc_fac,1000.0,20,3614.26325
sc_fac,1200.0,1,18259.539666666667
sc_fac,1200.0,5,16001.314999999999
sc_fac,1200.0,10,13178.534166666668
sc_fac,1200.0,20,7532.972500000001
