method,C,regime,money
ifac,1200.0,LNB,290.85
ifac,1200.0,LNS,287.195
ifac,1200.0,PLB,209.655
ifac,1200.0,PLS,205.76
ifac,1200.0,TLB,349.2
ifac,1200.0,TLNB,307.645
ifac,1200.0,TLNS,300.465
ifac,1200.0,TLS,372.115
ifac,1200.0,TPLB,241.745
ifac,1200.0,TPLS,243.425
ifac,1200.0,UB,286.09
ifac,1200.0,US,273.61
ja_ppo,1200.0,LNB,-3291.155
ja_ppo,1200.0,LNS,-3291.39
ja_ppo,1200.0,PLB,-3305.575
ja_ppo,1200.0,PLS,-3305.235
ja_ppo,1200.0,TLB,-3291.945
ja_ppo,1200.0,TLNB,-3292.04
ja_ppo,1200.0,TLNS,-3292.24
ja_ppo,1200.0,TLS,-3291.965
ja_ppo,1200.0,TPLB,-3302.9
ja_ppo,1200.0,TPLS,-3302.535
ja_ppo,1200.0,UB,-3296.805
ja_ppo,1200.0,US,-3297.255
sc_fac,1200.0,LNB,285.385
sc_fac,1200.0,LNS,289.13
sc_fac,1200.0,PLB,254.325
sc_fac,1200.0,PLS,264.92
sc_fac,1200.0,TLB,305.985
sc_fac,1200.0,TLNB,279.085
sc_fac,1200.0,TLNS,290.58
sc_fac,1200.0,TLS,302.255
sc_fac,1200.0,TPLB,270.91
sc_fac,1200.0,TPLS,275.19
sc_fac,1200.0,UB,289.3
sc_fac,1200.0,US,265.28
