method,C,tau,money_mean
FA,1200.0,1,11125.08125
FA,1200.0,5,10103.274583333334
FA,1200.0,10,8826.01625
FA,1200.0,20,6271.499583333333
FWF,1200.0,1,10217.011666666667
FWF,1200.0,5,9071.663333333334
FWF,1200.0,10,7639.977916666667
FWF,1200.0,20,4776.607083333333
ifac,1200.0,1,288.17625
ifac,1200.0,5,284.82958333333335
ifac,1200.0,10,280.64625
ifac,1200.0,20,272.27958333333333
ja_ppo,1200.0,1,-290.75333333333333
ja_ppo,1200.0,5,-1626.753333333333
ja_ppo,1200.0,10,-3296.7533333333336
ja_ppo,1200.0,20,-6636.753333333333
sc_fac,1200.0,1,391.365
sc_fac,1200.0,5,342.32666666666665
sc_fac,1200.0,10,281.02875
sc_fac,1200.0,20,158.43291666666667
